date,open,high,low,close,volume
28.02.2018 22:00:00.000 GMT-0000,1.37591,1.37846,1.37115,1.37746,209689039.91730002
01.03.2018 22:00:00.000 GMT-0000,1.37745,1.38166,1.37554,1.37980,191391409.30179998
02.03.2018 22:00:00.000 GMT-0000,1.37980,1.37980,1.37980,1.37980,0
03.03.2018 22:00:00.000 GMT-0000,1.37980,1.37980,1.37980,1.37980,0
04.03.2018 22:00:00.000 GMT-0000,1.37886,1.38769,1.37664,1.38482,185323589.11139998
05.03.2018 22:00:00.000 GMT-0000,1.38478,1.39291,1.38163,1.38863,176971749.26770002
06.03.2018 22:00:00.000 GMT-0000,1.38860,1.39118,1.38459,1.38990,178933309.8147
07.03.2018 22:00:00.000 GMT-0000,1.38932,1.39098,1.37807,1.38089,179392819.3361
08.03.2018 22:00:00.000 GMT-0000,1.38089,1.38886,1.37878,1.38447,168512438.1104
09.03.2018 22:00:00.000 GMT-0000,1.38447,1.38447,1.38447,1.38447,0
10.03.2018 22:00:00.000 GMT-0000,1.38447,1.38447,1.38447,1.38447,0
11.03.2018 21:00:00.000 GMT-0000,1.38500,1.39174,1.38410,1.39052,127550100.43329999
12.03.2018 21:00:00.000 GMT-0000,1.39048,1.39938,1.38745,1.39602,151625959.35029998
13.03.2018 21:00:00.000 GMT-0000,1.39599,1.39955,1.39255,1.39605,147770361.32830003
14.03.2018 21:00:00.000 GMT-0000,1.39606,1.39884,1.39213,1.39357,183978860.35180002
15.03.2018 21:00:00.000 GMT-0000,1.39353,1.39807,1.38891,1.39432,134094641.84579998
16.03.2018 21:00:00.000 GMT-0000,1.39432,1.39432,1.39432,1.39432,0
17.03.2018 21:00:00.000 GMT-0000,1.39432,1.39432,1.39432,1.39432,0
18.03.2018 21:00:00.000 GMT-0000,1.39353,1.40881,1.39128,1.40226,170328460.2661
19.03.2018 21:00:00.000 GMT-0000,1.40228,1.40664,1.39826,1.39968,143357011.10860002
20.03.2018 21:00:00.000 GMT-0000,1.39967,1.41504,1.39958,1.41393,174167609.131
21.03.2018 21:00:00.000 GMT-0000,1.41392,1.42175,1.40756,1.40948,184799201.66040003
22.03.2018 21:00:00.000 GMT-0000,1.40953,1.41717,1.40849,1.41305,161338308.8382
23.03.2018 21:00:00.000 GMT-0000,1.41305,1.41305,1.41305,1.41305,0
24.03.2018 21:00:00.000 GMT-0000,1.41305,1.41305,1.41305,1.41305,0
25.03.2018 22:00:00.000 GMT+0100,1.41326,1.42442,1.41296,1.42273,124899090.2101
26.03.2018 22:00:00.000 GMT+0100,1.42277,1.42440,1.40659,1.41556,145824979.12610003
27.03.2018 22:00:00.000 GMT+0100,1.41550,1.42001,1.40703,1.40762,149725090.33220002
28.03.2018 22:00:00.000 GMT+0100,1.40760,1.40959,1.40106,1.40174,142787767.94449997
29.03.2018 22:00:00.000 GMT+0100,1.40167,1.40594,1.40088,1.40088,104968959.595
30.03.2018 22:00:00.000 GMT+0100,1.40088,1.40088,1.40088,1.40088,0
31.03.2018 22:00:00.000 GMT+0100,1.40088,1.40088,1.40088,1.40088,0
01.04.2018 22:00:00.000 GMT+0100,1.40224,1.40775,1.40193,1.40430,99422959.961
02.04.2018 22:00:00.000 GMT+0100,1.40425,1.40883,1.40208,1.40557,133270538.57429996
03.04.2018 22:00:00.000 GMT+0100,1.40543,1.40962,1.40146,1.40782,142246578.7963
04.04.2018 22:00:00.000 GMT+0100,1.40782,1.40968,1.39652,1.40015,148253598.99929997
05.04.2018 22:00:00.000 GMT+0100,1.40015,1.41055,1.39827,1.40814,144430521.91169998
06.04.2018 22:00:00.000 GMT+0100,1.40814,1.40814,1.40814,1.40814,0
