Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,105.500000,105.650002,102.750000,103.019997,102.340515,9395300
2017-09-26,103.110001,104.019997,102.879997,102.940002,102.261063,6263600
2017-09-27,103.070000,104.120003,102.900002,103.889999,103.204781,8337400
2017-09-28,103.750000,104.980003,103.739998,104.580002,103.890244,5947800
2017-09-29,104.750000,105.430000,104.690002,105.239998,104.545883,7676300
2017-10-02,105.540001,105.989998,105.099998,105.440002,104.744568,4885600
2017-10-03,105.650002,105.900002,105.290001,105.589996,104.893578,4411100
2017-10-04,105.709999,105.739998,104.900002,105.309998,104.615425,4146800
2017-10-05,105.599998,106.250000,105.150002,106.239998,105.539291,4396100
2017-10-06,106.290001,106.959999,105.870003,106.730003,106.026062,4587000
2017-10-09,106.599998,107.650002,106.540001,107.010002,106.304207,4787000
2017-10-10,107.580002,107.599998,106.820000,107.309998,106.602234,4015600
2017-10-11,107.699997,108.589996,107.599998,108.440002,107.724785,6473100
2017-10-12,108.500000,108.709999,107.900002,108.110001,107.396957,6496100
2017-10-13,108.500000,109.260002,108.400002,108.660004,107.943336,5154600
2017-10-16,108.790001,109.050003,107.160004,108.300003,107.585709,5552200
2017-10-17,108.250000,108.419998,107.300003,107.540001,106.830727,5979400
2017-10-18,107.620003,108.000000,107.459999,107.800003,107.089005,4817300
2017-10-19,107.269997,107.779999,106.900002,107.019997,106.314140,10840200
2017-10-20,107.699997,107.699997,106.970001,107.550003,106.840652,7848900
2017-10-23,108.050003,108.230003,107.099998,107.529999,106.820786,6316700
2017-10-24,107.559998,108.639999,107.180000,108.410004,107.694992,10511200
2017-10-25,109.410004,110.610001,108.000000,109.489998,108.767860,13261300
2017-10-26,110.379997,110.739998,109.669998,109.800003,109.075821,7380100
2017-10-27,110.070000,110.129997,108.690002,109.709999,108.986397,7862700
2017-10-30,109.669998,110.239998,108.919998,110.040001,109.314224,5148600
2017-10-31,110.580002,110.690002,108.660004,109.980003,109.254623,8002500
2017-11-01,110.500000,111.400002,110.419998,111.070000,110.337433,6167300
2017-11-02,111.019997,111.370003,110.199997,110.980003,110.248032,5506600
2017-11-03,110.940002,111.419998,110.510002,111.360001,110.625519,3757600
2017-11-06,111.360001,112.150002,111.199997,111.919998,111.181831,4094700
2017-11-07,112.250000,112.470001,111.559998,112.089996,111.350700,3697900
2017-11-08,112.010002,112.910004,111.820000,112.470001,111.728203,4417800
2017-11-09,111.800003,112.220001,110.930000,112.139999,111.400375,4334700
2017-11-10,111.709999,111.980003,111.279999,111.879997,111.142082,4198900
2017-11-13,111.550003,111.860001,111.339996,111.400002,110.665260,7185600
2017-11-14,111.080002,112.040001,110.809998,111.980003,111.241440,5679600
2017-11-15,111.339996,111.870003,110.139999,110.250000,109.522842,6895100
2017-11-16,110.750000,111.440002,110.570000,111.019997,110.483170,5655100
2017-11-17,110.690002,110.910004,109.699997,109.820000,109.288979,8812400
2017-11-20,109.949997,110.680000,109.690002,109.949997,109.418350,6873200
2017-11-21,110.449997,111.489998,110.300003,111.449997,110.911095,6456500
2017-11-22,111.500000,111.660004,110.699997,110.820000,110.284149,4067600
2017-11-24,111.309998,112.160004,111.139999,111.970001,111.428589,3045600
2017-11-27,112.000000,112.540001,111.910004,112.379997,111.836594,6620500
2017-11-28,112.599998,113.620003,112.559998,113.360001,112.811867,6671300
