Gmt time,Open,High,Low,Close,Volume
01.01.2017 00:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 01:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 02:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 03:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 04:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 05:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 06:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 07:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 08:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 09:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 10:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 11:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 12:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 13:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 14:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 15:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 16:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 17:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 18:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 19:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 20:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 21:00:00.000,3.53075,3.53075,3.53075,3.53075,0
01.01.2017 22:00:00.000,3.53801,3.54075,3.53737,3.53755,126.75
01.01.2017 23:00:00.000,3.53756,3.53951,3.53657,3.53939,166
02.01.2017 00:00:00.000,3.53940,3.53954,3.53755,3.53919,76.73
02.01.2017 01:00:00.000,3.53919,3.53953,3.53690,3.53694,99.73
02.01.2017 02:00:00.000,3.53694,3.53929,3.53643,3.53659,147.74
02.01.2017 03:00:00.000,3.53722,3.53872,3.53607,3.53622,145.75
02.01.2017 04:00:00.000,3.53830,3.53914,3.53511,3.53626,271.25
02.01.2017 05:00:00.000,3.53751,3.54102,3.53715,3.53818,483.74
02.01.2017 06:00:00.000,3.53808,3.54649,3.53570,3.53743,1086.3101
02.01.2017 07:00:00.000,3.53737,3.53738,3.53507,3.53588,1030.96
02.01.2017 08:00:00.000,3.53599,3.53820,3.53525,3.53738,3521.22
02.01.2017 09:00:00.000,3.53736,3.54093,3.53722,3.54047,3536.0801
02.01.2017 10:00:00.000,3.54047,3.54104,3.53966,3.54053,1722.8101
02.01.2017 11:00:00.000,3.54049,3.54460,3.54013,3.54251,2444.54
02.01.2017 12:00:00.000,3.54251,3.54638,3.54205,3.54486,1852.09
02.01.2017 13:00:00.000,3.54485,3.54598,3.53961,3.54092,1847.4301
02.01.2017 14:00:00.000,3.54092,3.54598,3.54007,3.54280,1422.01
02.01.2017 15:00:00.000,3.54280,3.54636,3.54135,3.54273,929.59
02.01.2017 16:00:00.000,3.54275,3.54397,3.54263,3.54351,320.23
02.01.2017 17:00:00.000,3.54351,3.54657,3.54344,3.54656,414
02.01.2017 18:00:00.000,3.54657,3.54665,3.54635,3.54645,281.5
02.01.2017 19:00:00.000,3.54645,3.54693,3.54547,3.54611,455.74
02.01.2017 20:00:00.000,3.54611,3.54913,3.54595,3.54912,557.75
02.01.2017 21:00:00.000,3.54912,3.55067,3.54423,3.54875,359.8
02.01.2017 22:00:00.000,3.54867,3.55105,3.54692,3.55001,324.53
02.01.2017 23:00:00.000,3.55000,3.55001,3.54462,3.54641,2113.1599
03.01.2017 00:00:00.000,3.54649,3.54667,3.54398,3.54491,1822.59
03.01.2017 01:00:00.000,3.54484,3.54630,3.54104,3.54491,2652.8601
03.01.2017 02:00:00.000,3.54481,3.54711,3.54230,3.54233,1286.16
03.01.2017 03:00:00.000,3.54231,3.54263,3.53650,3.53817,3464.3201
03.01.2017 04:00:00.000,3.53840,3.53868,3.53763,3.53784,1415.14
03.01.2017 05:00:00.000,3.53785,3.53948,3.53661,3.53927,1963.85
03.01.2017 06:00:00.000,3.53928,3.54582,3.53904,3.54425,4180.3501
03.01.2017 07:00:00.000,3.54422,3.58070,3.54415,3.57592,10073.54
03.01.2017 08:00:00.000,3.57597,3.58638,3.56495,3.56907,9364.9902
03.01.2017 09:00:00.000,3.56907,3.59777,3.56851,3.59601,8317.75
03.01.2017 10:00:00.000,3.59601,3.60042,3.58596,3.58935,7118.3999
03.01.2017 11:00:00.000,3.58940,3.59889,3.58887,3.59802,4108.2598
03.01.2017 12:00:00.000,3.59746,3.60460,3.58890,3.58983,7215.5801
03.01.2017 13:00:00.000,3.58984,3.58996,3.58447,3.58545,3755.54
03.01.2017 14:00:00.000,3.58545,3.59135,3.58403,3.59092,3664.0601
03.01.2017 15:00:00.000,3.59092,3.60469,3.58667,3.58796,8569.6201
03.01.2017 16:00:00.000,3.58807,3.59097,3.57712,3.58200,7836.04
03.01.2017 17:00:00.000,3.58200,3.58539,3.57862,3.58269,5441.1602
03.01.2017 18:00:00.000,3.58255,3.58736,3.58117,3.58736,3060.3401
03.01.2017 19:00:00.000,3.58740,3.59894,3.58599,3.59693,3328.03
03.01.2017 20:00:00.000,3.59690,3.59885,3.59432,3.59472,4505.9902
03.01.2017 21:00:00.000,3.59466,3.59564,3.59277,3.59515,4875.3398
03.01.2017 22:00:00.000,3.59554,3.59776,3.59477,3.59544,140.51
03.01.2017 23:00:00.000,3.59527,3.59527,3.59318,3.59411,1720.12
04.01.2017 00:00:00.000,3.59409,3.59451,3.59188,3.59339,7855.7598
04.01.2017 01:00:00.000,3.59339,3.59397,3.59177,3.59362,2449.5
04.01.2017 02:00:00.000,3.59365,3.59385,3.59156,3.59171,1597.9301
04.01.2017 03:00:00.000,3.59169,3.59211,3.59146,3.59185,1831.02
04.01.2017 04:00:00.000,3.59185,3.59192,3.58111,3.58348,1649.04
04.01.2017 05:00:00.000,3.58347,3.59525,3.58324,3.58915,1746.03
04.01.2017 06:00:00.000,3.58913,3.59503,3.58655,3.58851,7704.8501
04.01.2017 07:00:00.000,3.58851,3.58933,3.58095,3.58188,6183.5898
04.01.2017 08:00:00.000,3.58190,3.58862,3.57637,3.58192,8861.9404
04.01.2017 09:00:00.000,3.58192,3.58292,3.57790,3.58099,5667.71
04.01.2017 10:00:00.000,3.58101,3.58202,3.57523,3.57559,5670.27
04.01.2017 11:00:00.000,3.57556,3.57773,3.56881,3.57751,7153
04.01.2017 12:00:00.000,3.57751,3.58181,3.57600,3.58100,6498.21
04.01.2017 13:00:00.000,3.58098,3.58731,3.57897,3.58352,6268.1099
04.01.2017 14:00:00.000,3.58354,3.58368,3.57725,3.57927,5616.0298
04.01.2017 15:00:00.000,3.57926,3.58319,3.57155,3.57155,7507.2598
04.01.2017 16:00:00.000,3.57154,3.58119,3.57154,3.57807,3771.0801
04.01.2017 17:00:00.000,3.57824,3.57972,3.57530,3.57590,3565.6799
